n_clusters,max_features,min_df,max_df,merge_small,min_cluster_size,n_clusters_final,silhouette
75,7000,5,0.3,True,15,71,0.030856893748348376
100,5000,10,0.15,True,20,70,0.030836819316114383
100,10000,10,0.15,True,20,70,0.030836819316114383
100,7000,10,0.15,True,20,70,0.030836819316114383
90,10000,7,0.2,True,15,80,0.030813657770819264
80,5000,10,0.15,True,20,68,0.03081056665474887
80,10000,10,0.15,True,20,68,0.03081056665474887
80,7000,10,0.15,True,20,68,0.03081056665474887
70,10000,10,0.25,True,20,64,0.030790101736904454
70,5000,10,0.25,True,20,64,0.030790101736904454
70,7000,10,0.25,True,20,64,0.030790101736904454
75,5000,7,0.3,True,20,65,0.03078758016452976
55,5000,7,0.15,True,15,55,0.030781153705097812
75,10000,7,0.2,True,15,69,0.03076511985869822
80,7000,2,0.3,True,15,73,0.03075423202997592
60,5000,7,0.2,True,20,57,0.03073917455355067
80,10000,7,0.15,True,15,75,0.03073807502380563
65,5000,5,0.25,True,20,59,0.030728970155180103
70,5000,5,0.2,True,15,65,0.03072556304260959
100,7000,5,0.15,True,15,82,0.030719833211728075
70,5000,7,0.11,True,20,62,0.030702245027706423
80,5000,10,0.3,True,20,67,0.03069457210358476
80,7000,10,0.3,True,20,67,0.03069457210358476
80,10000,10,0.3,True,20,67,0.03069457210358476
55,5000,5,0.3,True,15,53,0.030686760042764737
60,10000,7,0.2,True,15,59,0.030671879997387165
90,7000,2,0.25,True,15,80,0.030667316235202517
60,7000,5,0.25,True,15,59,0.030659175003207466
65,5000,7,0.11,True,20,58,0.030656985448652488
90,7000,7,0.11,True,15,85,0.030654212592762912
75,7000,10,0.11,True,20,62,0.030652222336358233
75,10000,10,0.11,True,20,62,0.030652222336358233
75,5000,10,0.11,True,20,62,0.030652222336358233
90,5000,7,0.2,True,20,69,0.030651990694068508
70,5000,2,0.2,True,20,61,0.03064258844026295
100,5000,5,0.25,True,20,68,0.03063820205168978
90,5000,2,0.3,True,20,63,0.03060854861536869
65,10000,10,0.2,True,15,61,0.030605388934356353
65,7000,10,0.2,True,15,61,0.030605388934356353
65,5000,10,0.2,True,15,61,0.030605388934356353
95,5000,2,0.11,True,25,67,0.030598412503606138
95,5000,7,0.2,True,20,71,0.030584773840299083
90,7000,5,0.2,True,15,79,0.030580037255717517
55,10000,10,0.25,True,15,52,0.03055729156393352
55,7000,10,0.25,True,15,52,0.03055729156393352
55,5000,10,0.25,True,15,52,0.03055729156393352
95,5000,7,0.3,True,15,78,0.030534687859488947
65,5000,5,0.15,True,20,60,0.030513996956286517
65,7000,10,0.25,True,20,60,0.030512609734925995
65,5000,10,0.25,True,20,60,0.030512609734925995
65,10000,10,0.25,True,20,60,0.030512609734925995
80,5000,5,0.3,True,20,72,0.03050490369793181
75,7000,10,0.2,True,20,65,0.03049642467359968
75,10000,10,0.2,True,20,65,0.03049642467359968
75,5000,10,0.2,True,20,65,0.03049642467359968
100,5000,5,0.15,True,20,69,0.030490445524700243
100,5000,7,0.25,True,20,72,0.030445648805728004
65,7000,5,0.3,True,15,64,0.030436118042416277
70,7000,2,0.3,True,20,61,0.030422908437192184
65,5000,7,0.15,True,15,62,0.03041658156318197
95,7000,5,0.15,True,15,81,0.030416558508825662
80,7000,7,0.2,True,15,75,0.030405284627206566
80,10000,7,0.11,True,15,71,0.030403685707391388
95,5000,5,0.2,True,20,66,0.030393291858835766
100,5000,2,0.2,True,20,69,0.030390734249257152
55,7000,10,0.2,True,15,53,0.03039015914463386
55,10000,10,0.2,True,15,53,0.03039015914463386
55,10000,10,0.2,True,20,53,0.03039015914463386
55,7000,10,0.2,True,20,53,0.03039015914463386
55,5000,10,0.2,True,20,53,0.03039015914463386
55,5000,10,0.2,True,15,53,0.03039015914463386
65,5000,7,0.2,True,20,61,0.03038856259770526
60,7000,10,0.11,True,20,55,0.03038712231955783
60,10000,10,0.11,True,20,55,0.03038712231955783
60,5000,10,0.11,True,20,55,0.03038712231955783
65,5000,5,0.2,True,20,55,0.03037361281716853
55,5000,5,0.3,True,20,52,0.030362589895744207
90,7000,2,0.3,True,15,79,0.030344025196786428
55,5000,5,0.25,True,15,53,0.030335608896285237
90,10000,7,0.3,True,15,76,0.03033548799595066
60,5000,5,0.3,True,15,58,0.030321856001875883
60,5000,5,0.3,True,20,58,0.030321856001875883
60,5000,2,0.3,True,15,57,0.030318476985567944
55,5000,5,0.25,True,20,52,0.03030489789346493
95,10000,7,0.3,True,15,79,0.030294889187170427
80,5000,5,0.25,True,20,64,0.030290991580583352
55,5000,2,0.3,True,20,54,0.030287110998149715
55,5000,2,0.3,True,15,54,0.030287110998149715
65,10000,7,0.25,True,15,64,0.03028138276572503
55,7000,5,0.3,True,15,55,0.030269818236989248
75,7000,5,0.25,True,15,67,0.030268527763786947
60,7000,5,0.11,True,15,58,0.03025431462915059
60,7000,5,0.11,True,20,58,0.03025431462915059
75,7000,10,0.25,True,20,65,0.03024775890437092
75,5000,10,0.25,True,20,65,0.03024775890437092
75,10000,10,0.25,True,20,65,0.03024775890437092
60,5000,5,0.11,True,15,55,0.03024281647742287
100,5000,7,0.2,True,15,79,0.03022571797012056
55,5000,5,0.11,True,20,53,0.030214278173458158
80,7000,2,0.11,True,15,72,0.0302135526214888
75,10000,7,0.25,True,15,70,0.030209542876229227
80,7000,5,0.11,True,15,73,0.03020880434290727
70,7000,2,0.11,True,15,65,0.03020188070279617
60,5000,7,0.3,True,20,54,0.030191313353583254
70,7000,10,0.11,True,20,60,0.030190163333765466
70,10000,10,0.11,True,20,60,0.030190163333765466
70,5000,10,0.11,True,20,60,0.030190163333765466
95,7000,10,0.3,True,20,68,0.0301746370416145
95,5000,10,0.3,True,20,68,0.0301746370416145
95,10000,10,0.3,True,20,68,0.0301746370416145
90,7000,5,0.3,True,15,79,0.0301744530492521
95,5000,5,0.15,True,20,67,0.030171694345212323
60,5000,2,0.2,True,15,57,0.0301651302983932
65,7000,10,0.3,True,15,60,0.030160520930945792
65,10000,10,0.3,True,15,60,0.030160520930945792
65,5000,10,0.3,True,15,60,0.030160520930945792
70,5000,2,0.11,True,20,63,0.03015969253770042
95,5000,5,0.25,True,20,66,0.030155961194805094
55,5000,7,0.15,True,20,53,0.030147474771652593
70,7000,7,0.11,True,15,67,0.03014544989298639
80,5000,5,0.2,True,20,64,0.030141870970395578
70,10000,10,0.2,True,20,57,0.03014121983401812
70,5000,10,0.2,True,20,57,0.03014121983401812
70,7000,10,0.2,True,20,57,0.03014121983401812
55,5000,7,0.3,True,15,54,0.03013898762769508
65,7000,5,0.15,True,15,62,0.03012810378203497
55,5000,10,0.15,True,15,54,0.03012731284683905
55,7000,10,0.15,True,15,54,0.03012731284683905
55,10000,10,0.15,True,15,54,0.03012731284683905
80,5000,2,0.15,True,20,66,0.03012454358024338
70,7000,5,0.11,True,20,62,0.03012319852223829
55,5000,2,0.2,True,15,54,0.03011492774920949
75,5000,2,0.3,True,20,65,0.030107644772007967
90,5000,7,0.15,True,20,68,0.03010634781689453
90,5000,2,0.11,True,20,66,0.030105029140437358
100,10000,2,0.2,True,15,84,0.030102832187980745
100,7000,7,0.3,True,15,80,0.03007609256108356
100,7000,5,0.2,True,15,86,0.030059652753286627
75,5000,10,0.15,True,20,61,0.03005737400552297
75,7000,10,0.15,True,20,61,0.03005737400552297
75,10000,10,0.15,True,20,61,0.03005737400552297
65,5000,5,0.11,True,15,58,0.030052283722344558
55,5000,5,0.3,True,25,51,0.03003993438887888
70,7000,2,0.25,True,15,64,0.030039874878052084
95,7000,7,0.15,True,15,78,0.030035040682599427
75,7000,7,0.3,True,20,66,0.030024775408591265
70,5000,5,0.3,True,15,65,0.030012262066501684
95,10000,7,0.2,True,15,83,0.02997877897493705
65,7000,2,0.25,True,15,62,0.029951063371262836
90,5000,7,0.25,True,20,69,0.029949337350944814
80,7000,2,0.15,True,15,75,0.029934685181685957
60,7000,7,0.11,True,15,59,0.029925476108918072
55,5000,5,0.11,True,15,54,0.02989633863593481
95,5000,2,0.3,True,20,70,0.02989470669198468
100,7000,10,0.11,True,20,64,0.02989372672272891
100,5000,10,0.11,True,20,64,0.02989372672272891
100,10000,10,0.11,True,20,64,0.02989372672272891
60,5000,7,0.25,True,15,57,0.0298923823514932
60,5000,2,0.15,True,15,57,0.029889662605438634
60,5000,2,0.15,True,20,57,0.029889662605438634
75,7000,5,0.25,True,20,65,0.029882478760775162
75,7000,5,0.15,True,15,68,0.02987794452063131
100,10000,10,0.3,True,20,72,0.029862708021909667
100,5000,10,0.3,True,20,72,0.029862708021909667
100,7000,10,0.3,True,20,72,0.029862708021909667
95,10000,2,0.3,True,15,81,0.029843598856006803
60,7000,2,0.25,True,15,60,0.029837735206498874
70,5000,7,0.15,True,20,61,0.029824885879316643
65,5000,7,0.15,True,20,60,0.029819153339646527
60,5000,2,0.2,True,25,54,0.029817270998451047
60,5000,5,0.2,True,15,56,0.02980906739021776
65,7000,7,0.25,True,15,60,0.029795782741031156
55,5000,7,0.3,True,20,53,0.029792914872106984
60,5000,10,0.2,True,20,54,0.029788983937337848
60,10000,10,0.2,True,20,54,0.029788983937337848
60,7000,10,0.2,True,20,54,0.029788983937337848
70,5000,2,0.25,True,20,61,0.029786183939962758
70,5000,10,0.3,True,20,59,0.02976959180295125
70,10000,10,0.3,True,20,59,0.02976959180295125
70,7000,10,0.3,True,20,59,0.02976959180295125
70,5000,5,0.2,True,20,60,0.029727731200975185
75,10000,7,0.11,True,15,70,0.029727305669784734
75,7000,2,0.25,True,15,69,0.02971274388117223
95,5000,7,0.11,True,20,68,0.029706391838666326
100,5000,5,0.3,True,20,72,0.02967769308308221
70,5000,7,0.2,True,15,66,0.029670998323472406
90,5000,5,0.2,True,20,69,0.02966706685493531
60,5000,7,0.11,True,15,56,0.029664816779093474
70,7000,7,0.3,True,20,62,0.029643970226386564
70,5000,7,0.3,True,15,65,0.029642668497492027
75,7000,7,0.25,True,15,68,0.029633334093114017
55,5000,5,0.11,True,25,51,0.02963149686594989
65,7000,7,0.2,True,20,60,0.02962325282416278
75,5000,5,0.11,True,20,61,0.029622159809198474
60,10000,10,0.3,True,15,58,0.02962071015568251
60,5000,10,0.3,True,15,58,0.02962071015568251
